flopo_id	label	entity	old_filler	old_filler_label	new_filler	new_filler_label	word_scope	action
FLOPO:0015760	arilloid color	PO_0019022	PATO:0000014	color	PATO:0000014	color		keep (generic colour phenotype, filler PATO:0000014 unchanged)
FLOPO:0015764	seed light green	PO_0009010	PATO:0001250	light green	FLOPO:0988166	light green	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015778	fruit light red	PO_0009001	PATO:0001262	light red	FLOPO:0988013	red (ISCC-NBS level 2)	NARROW	keep ID; replace EquivalentTo by SubClassOf(has_part some (E and has_quality some TARGET)); keep old PATO filler until PATO obsoletes it
FLOPO:0015785	leaf violet	PO_0025034	PATO:0001424	violet	FLOPO:0988027	violet	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015818	androecium violet	PO_0009061	PATO:0001424	violet	FLOPO:0988027	violet	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015819	ligule dark brown	PO_0020105	PATO:0001245	dark brown	FLOPO:0988084	dark brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015824	fruit dark grey	PO_0009001	PATO:0001251	dark grey	FLOPO:0988275	dark gray	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015828	caruncle dark brown	PO_0020060	PATO:0001245	dark brown	FLOPO:0988084	dark brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015849	cortex dark grey	PO_0005708	PATO:0001251	dark grey	FLOPO:0988275	dark gray	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015850	heartwood pink	PO_0004512	PATO:0000954	pink	FLOPO:0988000	pink	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015882	androecium brown	PO_0009061	PATO:0000952	brown	FLOPO:0988003	brown	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015890	corolla light green	PO_0009059	PATO:0001250	light green	FLOPO:0988166	light green	EXACT	repoint filler in EquivalentTo axiom
FLOPO:0015933	seed blue	PO_0009010	PATO:0000318	blue	FLOPO:0988007	blue	EXACT	repoint filler in EquivalentTo axiom
