proposal_key	ontology_id	label	kind	iscc_nbs_level	iscc_nbs_number	status	canonical_key
ISCCNBS:L3_128	FLOPO:0988151	dark grayish olive green	backbone_class	3	128	new_flopo_local	ISCCNBS:L3_128
ISCCNBS:L3_129	FLOPO:0988152	vivid yellowish green	backbone_class	3	129	new_flopo_local	ISCCNBS:L3_129
ISCCNBS:L3_130	FLOPO:0988153	brilliant yellowish green	backbone_class	3	130	new_flopo_local	ISCCNBS:L3_130
ISCCNBS:L3_131	FLOPO:0988154	strong yellowish green	backbone_class	3	131	new_flopo_local	ISCCNBS:L3_131
ISCCNBS:L3_132	FLOPO:0988155	deep yellowish green	backbone_class	3	132	new_flopo_local	ISCCNBS:L3_132
ISCCNBS:L3_133	FLOPO:0988156	very deep yellowish green	backbone_class	3	133	new_flopo_local	ISCCNBS:L3_133
ISCCNBS:L3_134	FLOPO:0988157	very light yellowish green	backbone_class	3	134	new_flopo_local	ISCCNBS:L3_134
ISCCNBS:L3_135	FLOPO:0988158	light yellowish green	backbone_class	3	135	new_flopo_local	ISCCNBS:L3_135
ISCCNBS:L3_136	FLOPO:0988159	moderate yellowish green	backbone_class	3	136	new_flopo_local	ISCCNBS:L3_136
ISCCNBS:L3_137	FLOPO:0988160	dark yellowish green	backbone_class	3	137	new_flopo_local	ISCCNBS:L3_137
ISCCNBS:L3_138	FLOPO:0988161	very dark yellowish green	backbone_class	3	138	new_flopo_local	ISCCNBS:L3_138
ISCCNBS:L3_139	FLOPO:0988162	vivid green	backbone_class	3	139	new_flopo_local	ISCCNBS:L3_139
ISCCNBS:L3_140	FLOPO:0988163	brilliant green	backbone_class	3	140	new_flopo_local	ISCCNBS:L3_140
ISCCNBS:L3_141	FLOPO:0988164	strong green	backbone_class	3	141	new_flopo_local	ISCCNBS:L3_141
ISCCNBS:L3_142	PATO:0104123	deep green	backbone_class	3	142	existing_pato_reused	ISCCNBS:L3_142
ISCCNBS:L3_143	FLOPO:0988165	very light green	backbone_class	3	143	new_flopo_local	ISCCNBS:L3_143
ISCCNBS:L3_144	FLOPO:0988166	light green	backbone_class	3	144	new_flopo_local	ISCCNBS:L3_144
ISCCNBS:L3_145	FLOPO:0988167	moderate green	backbone_class	3	145	new_flopo_local	ISCCNBS:L3_145
ISCCNBS:L3_146	PATO:0001249	dark green	backbone_class	3	146	existing_pato_reused	ISCCNBS:L3_146
ISCCNBS:L3_147	FLOPO:0988168	very dark green	backbone_class	3	147	new_flopo_local	ISCCNBS:L3_147
ISCCNBS:L3_148	PATO:0104223	very pale green	backbone_class	3	148	existing_pato_reused	ISCCNBS:L3_148
ISCCNBS:L3_149	FLOPO:0988169	pale green	backbone_class	3	149	new_flopo_local	ISCCNBS:L3_149
ISCCNBS:L3_150	PATO:0104007	grayish green	backbone_class	3	150	existing_pato_reused	ISCCNBS:L3_150
ISCCNBS:L3_151	FLOPO:0988170	dark grayish green	backbone_class	3	151	new_flopo_local	ISCCNBS:L3_151
ISCCNBS:L3_152	FLOPO:0988171	blackish green	backbone_class	3	152	new_flopo_local	ISCCNBS:L3_152
ISCCNBS:L3_153	PATO:0104067	greenish white	backbone_class	3	153	existing_pato_reused	ISCCNBS:L3_153
ISCCNBS:L3_154	FLOPO:0988172	light greenish gray	backbone_class	3	154	new_flopo_local	ISCCNBS:L3_154
ISCCNBS:L3_155	FLOPO:0988173	greenish gray	backbone_class	3	155	new_flopo_local	ISCCNBS:L3_155
ISCCNBS:L3_156	FLOPO:0988174	dark greenish gray	backbone_class	3	156	new_flopo_local	ISCCNBS:L3_156
ISCCNBS:L3_157	FLOPO:0988175	greenish black	backbone_class	3	157	new_flopo_local	ISCCNBS:L3_157
ISCCNBS:L3_158	FLOPO:0988176	vivid bluish green	backbone_class	3	158	new_flopo_local	ISCCNBS:L3_158
ISCCNBS:L3_159	FLOPO:0988177	brilliant bluish green	backbone_class	3	159	new_flopo_local	ISCCNBS:L3_159
ISCCNBS:L3_160	FLOPO:0988178	strong bluish green	backbone_class	3	160	new_flopo_local	ISCCNBS:L3_160
ISCCNBS:L3_161	FLOPO:0988179	deep bluish green	backbone_class	3	161	new_flopo_local	ISCCNBS:L3_161
ISCCNBS:L3_162	FLOPO:0988180	very light bluish green	backbone_class	3	162	new_flopo_local	ISCCNBS:L3_162
ISCCNBS:L3_163	FLOPO:0988181	light bluish green	backbone_class	3	163	new_flopo_local	ISCCNBS:L3_163
ISCCNBS:L3_164	FLOPO:0988182	moderate bluish green	backbone_class	3	164	new_flopo_local	ISCCNBS:L3_164
ISCCNBS:L3_165	FLOPO:0988183	dark bluish green	backbone_class	3	165	new_flopo_local	ISCCNBS:L3_165
ISCCNBS:L3_166	FLOPO:0988184	very dark bluish green	backbone_class	3	166	new_flopo_local	ISCCNBS:L3_166
ISCCNBS:L3_167	FLOPO:0988185	vivid greenish blue	backbone_class	3	167	new_flopo_local	ISCCNBS:L3_167
ISCCNBS:L3_168	FLOPO:0988186	brilliant greenish blue	backbone_class	3	168	new_flopo_local	ISCCNBS:L3_168
