id	label	synonyms	slim
PATO_0001391	mosaic trisomy		value_slim
PATO_0001392	endopolyploid		value_slim
PATO_0001393	euploid		value_slim
PATO_0001394	diploid		value_slim
PATO_0001395	haplodiploid		value_slim
PATO_0001396	cellular quality		
PATO_0001397	cellular potency		attribute_slim|disposition_slim
PATO_0001398	self-renewal		attribute_slim|disposition_slim
PATO_0001399	totipotent		disposition_slim|value_slim
PATO_0001400	unipotent		disposition_slim|value_slim
PATO_0001401	oligopotent		disposition_slim|value_slim
PATO_0001402	multipotent		disposition_slim|value_slim
PATO_0001403	pluripotent		disposition_slim|value_slim
PATO_0001404	nucleate quality		attribute_slim
PATO_0001405	anucleate		mpath_slim|value_slim
PATO_0001406	binucleate		mpath_slim|value_slim
PATO_0001407	mononucleate		mpath_slim|value_slim
PATO_0001408	ciliatedness		value_slim
PATO_0001409	spindle-shaped		mpath_slim|value_slim
PATO_0001410	striated		mpath_slim|value_slim
PATO_0001411	structured		value_slim
PATO_0001412	unstructured		value_slim
PATO_0001413	angular velocity		attribute_slim|scalar_slim
PATO_0001414	catalytic activity		attribute_slim|scalar_slim
PATO_0001415	morbidity		attribute_slim|scalar_slim
PATO_0001416	regular duration		value_slim
PATO_0001417	irregular duration		value_slim
PATO_0001418	lethargic		value_slim
PATO_0001419	sharp		value_slim
PATO_0001420	buoyancy		attribute_slim|disposition_slim|scalar_slim
PATO_0001421	alive		value_slim
PATO_0001422	dead		value_slim
PATO_0001423	refractile		disposition_slim|value_slim
PATO_0001424	violet		mpath_slim|value_slim
PATO_0001425	rosy		value_slim
PATO_0001426	maroon		mpath_slim|value_slim
PATO_0001427	compound acidity		attribute_slim|scalar_slim
PATO_0001428	medium acidity		attribute_slim|scalar_slim
PATO_0001429	acidic		value_slim
PATO_0001430	alkaline		value_slim
PATO_0001431	adhesivity	adhesiveness|stickiness	attribute_slim|disposition_slim|relational_slim
PATO_0001432	decayed		value_slim
PATO_0001433	growth quality of occurrent	growth quality of a process|growth timing quality	attribute_slim
PATO_0001434	reproductive quality		
PATO_0001435	attachment quality		attribute_slim|relational_slim
PATO_0001436	sessile (sensu botany)		relational_slim|value_slim
PATO_0001437	sessile (sensu zoology)		mpath_slim|relational_slim|value_slim
PATO_0001438	pedicellate		relational_slim|value_slim
PATO_0001439	tonicity	tone	attribute_slim|disposition_slim|scalar_slim
PATO_0001440	homophilic		relational_slim|value_slim
PATO_0001441	heterophilic		relational_slim|value_slim
PATO_0001442	wholeness		attribute_slim
PATO_0001444	broken	burst|cracked|fractured|fragmented|hemorrhaged|ruptured|split|torn	value_slim
PATO_0001445	disassembled		value_slim
PATO_0001446	whole		value_slim
PATO_0001447	calcified	calcareous|calcification	mpath_slim|value_slim
PATO_0001448	ossified		value_slim
PATO_0001449	cartilaginous		mpath_slim|value_slim
PATO_0001450	edematous	edema|edemic|oedema|oedematous|oedemic	mpath_slim|value_slim
PATO_0001453	detached from	detached	mpath_slim|relational_slim|value_slim
PATO_0001454	sensitivity to oxygen		attribute_slim|disposition_slim|scalar_slim
PATO_0001455	aerobic		disposition_slim|value_slim
PATO_0001456	anaerobic		disposition_slim|value_slim
