id	label	synonyms	namespace
PO_0000053	petiole cortex	portion of petiole corex tissue	plant_anatomy
PO_0000054	petal vascular system		plant_anatomy
PO_0000055	bud	adventitious bud	plant_anatomy
PO_0000056	flower bud	floral bud	plant_anatomy
PO_0000057	inflorescence bud	male bud	plant_anatomy
PO_0000058	vegetative bud		plant_anatomy
PO_0000059	root initial cell	root initial|root stem cell	plant_anatomy
PO_0000060	root cortex-endodermis initial cell	root cortex-endodermis initial|root cortex-endodermis stem cell	plant_anatomy
PO_0000061	lateral root cap epidermal initial cell	lateral root-cap epidermal initial|lateral root-cap-epidermal stem cell	plant_anatomy
PO_0000062	stomatal initial cell	stomatal initial|stomatal meristemoid	plant_anatomy
PO_0000063	leaf procambial cell	dispersed meristematic cell|DMC|leaf procambium cell	plant_anatomy
PO_0000064	xylem pole pericycle cell		plant_anatomy
PO_0000065	phloem pole pericycle cell		plant_anatomy
PO_0000066	epithem cell		plant_anatomy
PO_0000067	proteoid root	cluster root|root cluster	plant_anatomy
PO_0000071	companion cell	minor vein companion cell	plant_anatomy
PO_0000074	parenchyma cell		plant_anatomy
PO_0000075	collenchyma cell		plant_anatomy
PO_0000076	chlorenchyma cell		plant_anatomy
PO_0000077	sclerenchyma cell		plant_anatomy
PO_0000078	transfer cell		plant_anatomy
PO_0000079	fusiform initial cell	fusiform initial|xylem initial|xylem mother cell	plant_anatomy
PO_0000082	ray initial cell	ray initial	plant_anatomy
PO_0000084	plant sperm cell	male gamete|microgamete|sperm cell|sperm nucleus	plant_anatomy
PO_0000112	shoot axis epidermis	branch epidermis	plant_anatomy
PO_0000115	socket cell	cell located at the base of the trichome|trichome support cell	plant_anatomy
PO_0000146	abscission zone	abscission layer	plant_anatomy
PO_0000191	synergid		plant_anatomy
PO_0000198	free nuclear endosperm	cenocytic endosperm|coenocytic endosperm|nuclear endosperm	plant_anatomy
PO_0000199	cellular endosperm		plant_anatomy
PO_0000200	micropylar endosperm	micropylar region|portion of micropylar endosperm	plant_anatomy
PO_0000201	chalazal cyst	chalazal endosperm cyst|portion of chalazal cyst	plant_anatomy
PO_0000207	nectary epidermis		plant_anatomy
PO_0000223	shoot axis cortex	branch cortex|portion of shoot axis cortex tissue	plant_anatomy
PO_0000224	central zone	central initiation zone	plant_anatomy
PO_0000225	peripheral zone	peripheral meristem	plant_anatomy
PO_0000226	rib zone	file meristem	plant_anatomy
PO_0000229	flower meristem	ear floret meristem|floral apical meristem|floral meristem|floret meristem|Poaceae floret meristem|tassel floret meristem	plant_anatomy
PO_0000230	inflorescence meristem		plant_anatomy
PO_0000232	axillary bud meristem	axillary meristem	plant_anatomy
PO_0000244	functional megaspore	Poaceae functional megaspore	plant_anatomy
PO_0000245	degenerate megaspore	Poaceae degenerate megaspore	plant_anatomy
PO_0000252	endodermis	endodermoid|portion of endodermal tissue|portion of epidermis tissue	plant_anatomy
PO_0000256	root hair cell		plant_anatomy
PO_0000258	root cortex	portion of root cortex tissue	plant_anatomy
PO_0000262	trichoblast	hair cell	plant_anatomy
PO_0000263	non-hair root epidermal cell	atrichoblast|non-hair cell	plant_anatomy
PO_0000272	protoxylem	portion of protoxylem tissue	plant_anatomy
PO_0000274	xylem fiber cell		plant_anatomy
PO_0000282	trichome	barb trichome|bristle|capilli|capillus|cilia|cilium|glochid|glochidia|glochidium|hair|lepides|lepis|non-secretory trichome|scale|seta|setae|squama|squamae|squamella|squamellae|squamule	plant_anatomy
PO_0000283	idioblast		plant_anatomy
PO_0000284	subsidiary cell	accessory cell	plant_anatomy
PO_0000289	sieve tube element	sieve tube member|sieve tube segment|sieve-tube element	plant_anatomy
PO_0000290	tracheary element		plant_anatomy
PO_0000293	guard cell	occlusive cell	plant_anatomy
PO_0000295	cambial initial cell	cambial cell|cambial initial	plant_anatomy
PO_0000301	tracheid		plant_anatomy
PO_0000309	nectary parenchyma		plant_anatomy
PO_0000332	shoot epidermal pavement cell		plant_anatomy
PO_0000349	plant epidermal initial cell	epidermal initial	plant_anatomy
PO_0000351	guard mother cell		plant_anatomy
PO_0000352	myrosin cell		plant_anatomy
PO_0000353	passage cell		plant_anatomy
PO_0000355	fiber tracheid	fiber tracheid cell	plant_anatomy
