term_id	surface_form	normalized_form	language	semantic_role	category	organ_context	definition	source_id	source_record_id	source_version	source_url	license	translation_group	target_id	target_label	target_namespace	mapping_relation	mapping_confidence	mapping_method	review_status	curator_orcid	mapping_date	component_ids	logical_operator	attribute_id	candidate_ids	candidate_labels	candidate_scores	corpus_frequency	evidence	notes
BTERM:fna_categories:3bf3942d87f525	septa	septa	en	entity	structure			fna_categories	49b1dda1-112a-4d1f-bdc5-1984c1d86853	2013-07-29		not recorded		PO_0000030	septum	PO	skos:exactMatch	0.97	ontology_synonym_exact	auto						PO_0000030	septum	0.9700	0		
BTERM:fna_categories:3bfeac1c203739	selliform	selliform	en	quality	shape			fna_categories	3d0cc032-a295-487e-b303-3f8b233347fc	2013-07-29		not recorded					flopo:unmapped	0.38	hybrid_candidate_retrieval	proposed						PATO_0002022|PATO_0002236|PATO_0002335|PATO_0000438|PATO_0000402|PATO_0001871|PATO_0002215|PATO_0002235|PATO_0002400|PATO_0000948	villiform|aliform|tholiform|invariant|branched|reniform|falciform|blade-like|fusiform|heart shaped	0.3800|0.3640|0.3400|0.3200|0.3095|0.3095|0.3095|0.3095|0.3095|0.3000	0		
BTERM:fna_categories:3c04325490aace	horn-shaped	horn shaped	en	quality	shape			fna_categories	892c056b-c60c-47f7-939f-bc9a2109beac	2013-07-29		not recorded					flopo:unmapped	0.6044	hybrid_candidate_retrieval	proposed						PATO_0001879|PATO_0002219|PATO_0002430|PATO_0002429|PATO_0001878|PATO_0001200|PATO_0001201|PATO_0002236|PATO_0002208|PATO_0002465	U-shaped|fan-shaped|strap-shaped|x-shaped|sigmoid|T-shaped|Y-shaped|aliform|spoon-shaped|prism shaped	0.6044|0.6023|0.5781|0.5747|0.5667|0.5629|0.5629|0.5527|0.5490|0.5182	0		
BTERM:fna_categories:3c2a474470579d	flattened	flattened	en	quality	shape			fna_categories	2c68f0e2-943e-4511-9863-c6b6cb293c8e	2013-07-29		not recorded		PATO_0002254	flattened	PATO	skos:exactMatch	0.99	ontology_primary_label_exact	auto						PATO_0002254	flattened	0.9900	10		
BTERM:fna_categories:3c2fe2b0a9747c	spathe	spathe	en	entity	structure			fna_categories	be285d91-a6e6-4e1b-8d89-fa3252201928	2013-07-29		not recorded		PO_0009054	inflorescence bract	PO	skos:broadMatch	0.85	ontology_scoped_synonym_proposal	proposed						PO_0009054	inflorescence bract	0.8500	0		
BTERM:fna_categories:3c31b38df49644	serotinous	serotinous	en	quality	maturation			fna_categories	8279a9f4-3afa-4e93-b7e2-6062dfca6548	2013-07-29		not recorded					flopo:unmapped	0.408	hybrid_candidate_retrieval	proposed						PATO_0002128|PATO_0001540|PATO_0002507|PATO_0104041|PATO_0001371|PATO_0002331|PATO_0001541|PATO_0000695|PATO_0002332|PATO_0001449	serous|glutinous|keratinous|velutinous|mucoid|adhesive|non-glutinous|synchronous|non-adhesive|cartilaginous	0.4080|0.3296|0.3200|0.3200|0.3000|0.3000|0.2956|0.2760|0.2692|0.2630	0		
BTERM:fna_categories:3c348eeded1c31	apetalous	apetalous	en	quality	architecture			fna_categories	eae1e5e0-7c5d-4888-91b0-430d4a58e547	2013-07-29		not recorded					flopo:unmapped	0.26	hybrid_candidate_retrieval	proposed						PATO_0001332|PATO_0002519|PATO_0002090|PATO_0002340|PATO_0000688|PATO_0001967|PATO_0002331	amorphous|cancellous|adenomatous|hispidulous|asynchronous|actinodromous|adhesive	0.2600|0.2530|0.2467|0.2467|0.2408|0.2354|0.2257	0		
BTERM:fna_categories:3c3942117de87c	punctate	punctate	en	quality	pattern			fna_categories	734209a4-81a9-4031-b3cc-08899cb40deb	2013-07-29		not recorded		PATO_0001512	punctate	PATO	skos:exactMatch	0.99	ontology_primary_label_exact	auto						PATO_0001512	punctate	0.9900	0		
BTERM:fna_categories:3c42e9d3a14e34	leafy	leafy	en	quality	architecture			fna_categories	84880723-0a25-4590-bb3b-ed416663e4a0	2013-07-29		not recorded					flopo:unmapped	0		unreviewed									602		
BTERM:fna_categories:3c61f1847cae61	headless	headless	en	quality	shape			fna_categories	d1ece417-56a5-4404-bc79-99390f22a8cf	2013-07-29		not recorded					flopo:unmapped	0.32	hybrid_candidate_retrieval	proposed						PATO_0000453|PATO_0000048|PATO_0001208|PATO_0001862|PATO_0002201|PATO_0001330	glabrous|hardness|odorless|lack of fertility in offspring|handedness|flavourless	0.3200|0.2760|0.2760|0.2692|0.2600|0.2530	0		
