flopo_iri	flopo_num	label	signature	deprecated
http://purl.obolibrary.org/obo/FLOPO_0021538	21538	funicle sigmoid	EQ|PO_0020006|PATO_0001878	0
http://purl.obolibrary.org/obo/FLOPO_0021539	21539	pappus sparse	EQ|PO_0025393|PATO_0001609	0
http://purl.obolibrary.org/obo/FLOPO_0021540	21540	endosperm hollow	EQ|PO_0009089|PATO_0002078	0
http://purl.obolibrary.org/obo/FLOPO_0021541	21541	endosperm structure, cavities	EQ|PO_0009089|PATO_0002014	0
http://purl.obolibrary.org/obo/FLOPO_0021542	21542	chalaza ventral to	EQ|PO_0020026|PATO_0001196	0
http://purl.obolibrary.org/obo/FLOPO_0021543	21543	filament fan-shaped	EQ|PO_0009067|PATO_0002219	0
http://purl.obolibrary.org/obo/FLOPO_0021544	21544	leaf rachis square	EQ|PO_0020055|PATO_0000413	0
http://purl.obolibrary.org/obo/FLOPO_0021545	21545	stigma displaced	EQ|PO_0009073|PATO_0002181	0
http://purl.obolibrary.org/obo/FLOPO_0021546	21546	seed medial to	EQ|PO_0009010|PATO_0001191	0
http://purl.obolibrary.org/obo/FLOPO_0021547	21547	corolla fusiform	EQ|PO_0009059|PATO_0002400	0
http://purl.obolibrary.org/obo/FLOPO_0021548	21548	epicalyx raised	EQ|PO_0009063|PATO_0001369	0
http://purl.obolibrary.org/obo/FLOPO_0021549	21549	subterranean tuber up	OTHER	1
http://purl.obolibrary.org/obo/FLOPO_0021550	21550	subterranean tuber direction	EQ|PO_0004547|PATO_0000039	0
http://purl.obolibrary.org/obo/FLOPO_0021551	21551	heartwood conspicuous	EQ|PO_0004512|PATO_0000463	0
http://purl.obolibrary.org/obo/FLOPO_0021552	21552	ovary wall sunken	EQ|PO_0005022|PATO_0002416	0
http://purl.obolibrary.org/obo/FLOPO_0021553	21553	ovary wall elevation	EQ|PO_0005022|PATO_0001687	0
