flopo_iri	label
http://purl.obolibrary.org/obo/FLOPO_0017903	keel down
http://purl.obolibrary.org/obo/FLOPO_0002248	keel duration
http://purl.obolibrary.org/obo/FLOPO_0010018	keel female
http://purl.obolibrary.org/obo/FLOPO_0013588	keel male
http://purl.obolibrary.org/obo/FLOPO_0010019	keel phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0007551	keel subacute
http://purl.obolibrary.org/obo/FLOPO_0006909	keel up
http://purl.obolibrary.org/obo/FLOPO_0002510	lamina acute
http://purl.obolibrary.org/obo/FLOPO_0019962	lamina continuous
http://purl.obolibrary.org/obo/FLOPO_0011780	lamina down
http://purl.obolibrary.org/obo/FLOPO_0002511	lamina duration
http://purl.obolibrary.org/obo/FLOPO_0016952	lamina hermaphrodite
http://purl.obolibrary.org/obo/FLOPO_0019963	lamina occurrence
http://purl.obolibrary.org/obo/FLOPO_0016953	lamina phenotypic sex
http://purl.obolibrary.org/obo/FLOPO_0007382	lamina subacute
http://purl.obolibrary.org/obo/FLOPO_0001556	lamina up
http://purl.obolibrary.org/obo/FLOPO_0010017	lamina variability
http://purl.obolibrary.org/obo/FLOPO_0010016	lamina variant
http://purl.obolibrary.org/obo/FLOPO_0002011	leaf acute
http://purl.obolibrary.org/obo/FLOPO_0015683	leaf apex acute
http://purl.obolibrary.org/obo/FLOPO_0007378	leaf apex duration
http://purl.obolibrary.org/obo/FLOPO_0007377	leaf apex subacute
http://purl.obolibrary.org/obo/FLOPO_0013982	leaf apex up
http://purl.obolibrary.org/obo/FLOPO_0016094	leaf arrested
http://purl.obolibrary.org/obo/FLOPO_0023829	leaf axil acute
http://purl.obolibrary.org/obo/FLOPO_0023830	leaf axil duration
http://purl.obolibrary.org/obo/FLOPO_0010368	leaf axil female
