# curie_map:
#   BTERM: https://w3id.org/flopo/botanical-term/
#   PO: http://purl.obolibrary.org/obo/PO_
#   PATO: http://purl.obolibrary.org/obo/PATO_
#   FLOPO: http://purl.obolibrary.org/obo/FLOPO_
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	confidence	mapping_tool	mapping_source	comment
BTERM:flopo_value_axioms:cfca7c155fdec0	red or yellow	skos:relatedMatch	PATO_0000324		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_one_of:FLOPO_0980196; axiom_type=union
BTERM:flopo_value_axioms:d2f24677c20a6a	greenish or pinkish	skos:relatedMatch	FLOPO_0980085		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_one_of:FLOPO_0980199; axiom_type=union
BTERM:flopo_value_axioms:d2f24677c20a6a	greenish or pinkish	skos:relatedMatch	FLOPO_0980097		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_one_of:FLOPO_0980199; axiom_type=union
BTERM:flopo_value_axioms:d72e9d1f92e052	reddish	skos:exactMatch	FLOPO_0980086	reddish	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:dced4709410ef2	white, cream, or yellow	skos:relatedMatch	PATO_0000323		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_one_of:FLOPO_0980187; axiom_type=union
BTERM:flopo_value_axioms:dced4709410ef2	white, cream, or yellow	skos:relatedMatch	PATO_0104031		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_one_of:FLOPO_0980187; axiom_type=union
BTERM:flopo_value_axioms:dced4709410ef2	white, cream, or yellow	skos:relatedMatch	PATO_0000324		semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	component_of_one_of:FLOPO_0980187; axiom_type=union
BTERM:flopo_value_axioms:e3d3ecad60e19f	purplish	skos:exactMatch	FLOPO_0980100	purplish	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:e3f776e3b7fa9b	pinkish	skos:exactMatch	FLOPO_0980097	pinkish	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
BTERM:flopo_value_axioms:e50549c1a93c02	pale cream	skos:exactMatch	FLOPO_0980117	pale cream	semapv:ManualMappingCuration	2026-07-13	orcid:0000-0001-8149-5890	1.0	reviewed_flopo_value_axiom	https://github.com/pato-ontology/pato/pull/615	axiom_type=subclass
