flopo_id	flopo_iri	label	definition	parent_pato_ids	parent_pato_labels	frequency	quality_contexts	examples	candidate_id	axiom_type	logical_target_ids	sources
FLOPO_0980180	http://purl.obolibrary.org/obo/FLOPO_0980180	banded and tessellated yellow and blue-green	A composite botanical phenotype value in which the bearer has banded and tessellated patterning and displays yellow and blue-green colors.	PATO_0000019	color pattern	2	leaf color (1)|leaf color pattern (1)	Sansevieria abyssinica: banded and tessellated yellow and blue-green || Sansevieria abyssinica: banded and tessellated yellow and blue-green	FLOPO_VALUE_banded_and_tessellated_yellow_and_blue_green	components	PATO_0001946|PATO_0104307|PATO_0000324|PATO_0104020	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980181	http://purl.obolibrary.org/obo/FLOPO_0980181	flat oval	A composite botanical phenotype value denoting flat oval, used in flora descriptions; its component qualities are flat, elliptic.	PATO_0000001	quality	2	fruit shape (2)	Savignya parviflora: flat oval fruits || Taverniera lappacea: flat oval stiff-hairy pods	FLOPO_VALUE_flat_oval	components	PATO_0000407|PATO_0000947	""
FLOPO_0980182	http://purl.obolibrary.org/obo/FLOPO_0980182	glaucous blue-green	A composite botanical phenotype value in which a glaucous surface bloom produces or accompanies a blue-green appearance.	PATO_0000001	quality	2	leaf color (2)	Silene macrosolen: glaucous blue-green leaves || Silene schimperiana: glaucous blue-green leaves	FLOPO_VALUE_glaucous_blue_green	components	PATO_0104277|PATO_0104020	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980183	http://purl.obolibrary.org/obo/FLOPO_0980183	slender cylindrical	A composite botanical phenotype value denoting slender cylindrical, used in flora descriptions; its component qualities are decreased thickness, cylindrical.	PATO_0000001	quality	2	fruit shape (2)	Torularia torulosa: slender cylindrical fruits || Torularia torulosa: slender cylindrical fruits which corkscrew	FLOPO_VALUE_slender_cylindrical	components	PATO_0000592|PATO_0001873	""
FLOPO_0980184	http://purl.obolibrary.org/obo/FLOPO_0980184	long straight	A composite botanical phenotype value denoting long straight, used in flora descriptions; its component qualities are elongated, straight.	PATO_0000001	quality	1	fruit shape (1)	Acacia abyssinica: long straight pods	FLOPO_VALUE_long_straight	components	PATO_0001154|PATO_0002180	""
FLOPO_0980185	http://purl.obolibrary.org/obo/FLOPO_0980185	golden-yellow	A botanical phenotype value denoting golden-yellow, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): yellow.	PATO_0000324	yellow	1	fruit color (1)	Acacia asak: fleshy golden-yellow pods	FLOPO_VALUE_golden_yellow	subclass	PATO_0000324	""
FLOPO_0980186	http://purl.obolibrary.org/obo/FLOPO_0980186	slightly twisted	A botanical phenotype value denoting slightly twisted, used in flora descriptions. This FLOPO extension value is classified under the PATO value class(es): kinked.	PATO_0001798	kinked	1	fruit shape (1)	Acacia asak: slightly twisted	FLOPO_VALUE_slightly_twisted	subclass	PATO_0001798	""
FLOPO_0980187	http://purl.obolibrary.org/obo/FLOPO_0980187	white, cream, or yellow	A botanical color that is white, cream, or yellow.	PATO_0000014	color	1	flower color (1)	Acacia asak: white, cream, or yellow flowers	FLOPO_VALUE_white_cream_or_yellow	union	PATO_0000323|PATO_0104031|PATO_0000324	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980188	http://purl.obolibrary.org/obo/FLOPO_0980188	peeling papery	A papyraceous texture in which the paper-like material peels from the bearer.	PATO_0104010	papyraceous	1	bark texture (1)	Acacia ehrenbergiana: peeling papery bark	FLOPO_VALUE_peeling_papery	subclass	PATO_0104010	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980189	http://purl.obolibrary.org/obo/FLOPO_0980189	slightly blue-green	A botanical color that is a slightly expressed variant of blue green.	PATO_0104020	blue green	1	leaf color (1)	Acacia nubica: slightly blue-green leaves	FLOPO_VALUE_slightly_blue_green	subclass	PATO_0104020	https://github.com/pato-ontology/pato/pull/615
FLOPO_0980190	http://purl.obolibrary.org/obo/FLOPO_0980190	fawn	A composite botanical phenotype value denoting fawn, used in flora descriptions; its component qualities are brown, yellow.	PATO_0000001	quality	1	flower color (1)	Acantholepis orientalis: fawn bud-like flowers	FLOPO_VALUE_fawn	components	PATO_0000952|PATO_0000324	""
