flopo_id	label	signature	bearer_po_id	category	new_parent	classification_method	review_status
FLOPO_0005849	cortex phenotype	PHENO|PO_0005708	PO:0005708	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0005913	stem base phenotype	PHENO|PO_0008039	PO:0008039	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0006033	coma phenotype	PHENO|PO_0020061	PO:0020061	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0006109	columella phenotype	PHENO|PO_0025230	PO:0025230	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0006206	leaf apex phenotype	PHENO|PO_0020137	PO:0020137	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0006360	root cap phenotype	PHENO|PO_0020123	PO:0020123	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0006564	funicle phenotype	PHENO|PO_0020006	PO:0020006	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0006599	stomatal pore phenotype	PHENO|PO_0008032	PO:0008032	anatomical_space	FLOPO_0017857	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0006854	strophiole phenotype	PHENO|PO_0019023	PO:0019023	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0006903	cambium phenotype	PHENO|PO_0005597	PO:0005597	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0007274	flower bud phenotype	PHENO|PO_0000056	PO:0000056	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0007816	epicotyl phenotype	PHENO|PO_0020035	PO:0020035	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0007921	antiraphe phenotype	PHENO|PO_0020028	PO:0020028	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0008156	perisperm phenotype	PHENO|PO_0020058	PO:0020058	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0008198	hypodermis phenotype	PHENO|PO_0005051	PO:0005051	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0008318	shoot axis phenotype	PHENO|PO_0025029	PO:0025029	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0008403	flower bract phenotype	PHENO|PO_0009034	PO:0009034	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0008420	mesophyll phenotype	PHENO|PO_0006070	PO:0006070	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0008734	pneumatophore phenotype	PHENO|PO_0025357	PO:0025357	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0009095	prophyll phenotype	PHENO|PO_0009042	PO:0009042	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0009135	integument phenotype	PHENO|PO_0020021	PO:0020021	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0009399	basal axillary shoot system phenotype	PHENO|PO_0005001	PO:0005001	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0009428	petal base phenotype	PHENO|PO_0025146	PO:0025146	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0009431	extrafloral nectary phenotype	PHENO|PO_0009057	PO:0009057	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0009583	phloem phenotype	PHENO|PO_0005417	PO:0005417	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0009720	xylem vessel phenotype	PHENO|PO_0025417	PO:0025417	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0009731	juice sac phenotype	PHENO|PO_0006013	PO:0006013	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0009737	vegetative bud phenotype	PHENO|PO_0000058	PO:0000058	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0009903	leaflet margin phenotype	PHENO|PO_0006034	PO:0006034	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0010170	megaspore phenotype	PHENO|PO_0020019	PO:0020019	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0010363	bract apex phenotype	PHENO|PO_0025154	PO:0025154	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0010448	microspore phenotype	PHENO|PO_0020048	PO:0020048	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0010653	free tepal phenotype	PHENO|PO_0025136	PO:0025136	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0010682	pulvinus phenotype	PHENO|PO_0009000	PO:0009000	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0011396	chalaza phenotype	PHENO|PO_0020026	PO:0020026	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0011471	arilloid phenotype	PHENO|PO_0019022	PO:0019022	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0012030	subterranean tuber phenotype	PHENO|PO_0004547	PO:0004547	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0012734	free petal phenotype	PHENO|PO_0025569	PO:0025569	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
FLOPO_0012852	cauline leaf phenotype	PHENO|PO_0000013	PO:0000013	plant_structure	FLOPO_0018579	transitive is_a ancestry in ont/plant_ontology.obo	deterministic
